"設定項目","初期値","選択肢","説明"
"useragent","CodeIgniter","なし","ユーザエージェント"
"protocol","mail","mail、sendmail、 または smtp","メールを送信するプロトコル"
"mailpath","/usr/sbin/sendmail","なし","Sendmail へのパス"
"smtp_host","初期値なし","なし","SMTP サーバのアドレス"
"smtp_user","初期値なし","なし","SMTP のユーザ名"
"smtp_pass","初期値なし","なし","SMTP のパスワード"
"smtp_port",25,"なし","SMTP のポート番号"
"smtp_timeout",5,"なし","SMTP のタイムアウト (秒単位)"
"wordwrap",TRUE,"TRUE または FALSE (boolean)","ワードラップの有効化設定"
"wrapchars",76,,"何番目の文字で折り返すか"
"mailtype","text","text または html","メールのタイプ。HTML メールを送信すると、メールは完全な Web ページとして送信されます。このとき、相対リンクや画像への相対パスがないか確かめてください。それらは動作しません。"
"charset","utf-8",,"文字セット (utf-8、iso-8859-1、など)"
"validate",FALSE,"TRUE または FALSE (boolean)","メールアドレスを検証するかどうか"
"priority",3,"1, 2, 3, 4, 5","メールの優先度。 1 = 最高 5 = 最低 3 = 通常"
"crlf","\n","""\r\n"" or ""\n"" or ""\r""","改行文字 (RFC 822に従う場合は、""\r\n"")"
"bcc_batch_mode",FALSE,"TRUE または FALSE (boolean)","BCC バッチモードを有効にするかどうか"
"bcc_batch_size",200,"なし","各 BCC バッチで送るメール件数。"
